Fecha;Hora;Temperatura;Humedad (%);Humedad del suelo (%);Porcenaje de agua;Estado bomba
21/8/2022;12:26:29;19.6;74.7;67.97;49.38;0
21/8/2022;12:26:34;19.6;74.6;67.97;49.36;0
21/8/2022;12:26:39;19.6;74.6;67.97;49.52;0
21/8/2022;12:26:44;19.6;74.6;67.48;49.45;0
21/8/2022;12:26:49;19.6;74.6;67.87;49.39;0
21/8/2022;12:26:54;19.5;74.6;67.97;49.37;0
21/8/2022;12:26:59;19.5;74.6;68.07;49.35;0
21/8/2022;12:27:04;19.6;74.6;67.97;49.37;0
21/8/2022;12:27:09;19.6;74.6;67.87;49.43;0
21/8/2022;12:27:14;19.5;74.6;67.87;49.36;0
21/8/2022;12:27:19;19.5;74.5;67.97;49.37;0
21/8/2022;12:27:24;19.5;74.5;67.97;49.39;0
21/8/2022;12:27:29;19.5;74.5;67.48;49.36;0
21/8/2022;12:27:34;19.5;74.4;67.48;49.37;0
21/8/2022;12:27:39;19.5;74.4;67.48;49.39;0
21/8/2022;12:27:44;19.5;74.4;69.53;49.38;0
21/8/2022;12:27:49;19.5;74.4;68.07;49.39;0
21/8/2022;12:27:54;19.5;74.4;67.97;49.4;0
21/8/2022;12:27:59;19.5;74.5;68.36;49.39;0
21/8/2022;12:28:04;19.5;74.4;67.97;49.4;0
21/8/2022;12:28:09;19.5;74.4;67.48;49.6;0
21/8/2022;12:28:14;19.4;74.4;67.38;49.42;0
21/8/2022;12:28:19;19.5;74.4;67.97;49.34;0
22/8/2022;16:37:10;19.2;74.7;67.09;49.4;0
22/8/2022;16:37:15;19.3;74.8;67.19;49.4;0
22/8/2022;16:37:20;19.2;74.7;67.19;49.4;0
22/8/2022;16:37:25;19.2;74.8;67.19;49.37;0
22/8/2022;16:37:30;19.2;74.9;67.19;49.41;0
22/8/2022;16:37:35;19.2;75;65.63;49.35;0
22/8/2022;16:37:40;19.2;75.1;67.19;49.39;0
22/8/2022;16:37:45;19.2;75.2;67.87;49.4;0
22/8/2022;16:37:50;19.2;75.3;67.19;49.41;0
22/8/2022;16:37:55;19.2;75.3;67.19;49.42;0
22/8/2022;16:38:00;19.2;75.4;67.77;49.4;0
22/8/2022;16:38:05;19.2;75.4;67.38;49.37;0
22/8/2022;16:38:10;19.2;75.4;67.19;49.41;0
22/8/2022;16:38:15;19.2;75.4;67.38;49.41;0
22/8/2022;16:38:20;19.2;75.5;67.87;49.39;0
22/8/2022;16:38:25;19.2;75.5;67.77;49.36;0
22/8/2022;16:38:30;19.2;75.5;67.97;49.39;0
22/8/2022;16:38:35;19.2;75.5;67.19;49.4;0
22/8/2022;16:38:40;19.2;75.6;67.87;49.4;0
22/8/2022;16:38:45;19.2;75.6;67.77;49.42;0
22/8/2022;16:38:50;19.2;75.6;67.09;49.41;0
22/8/2022;16:38:55;19.2;75.6;67.19;49.39;0
22/8/2022;16:39:00;19.2;75.5;68.55;49.41;0
22/8/2022;16:39:05;19.3;75.5;68.36;49.42;0
22/8/2022;16:39:10;19.2;75.5;67.77;49.43;0
22/8/2022;16:39:15;19.3;75.6;67.87;49.41;0
22/8/2022;16:39:20;19.3;75.5;67.68;49.4;0
22/8/2022;16:39:25;19.3;75.5;67.77;49.41;0
22/8/2022;16:39:30;19.3;75.5;67.97;49.41;0
22/8/2022;16:39:35;19.3;75.5;67.68;49.44;0
22/8/2022;16:39:40;19.2;75.5;68.07;49.39;0
22/8/2022;16:39:45;19.3;75.5;67.97;49.37;0
22/8/2022;16:39:50;19.3;75.5;68.07;49.42;0
22/8/2022;16:39:55;19.3;75.5;68.07;49.4;0
22/8/2022;16:40:00;19.3;75.4;67.48;49.43;0
22/8/2022;16:40:05;19.3;75.4;67.97;49.43;0
22/8/2022;16:40:10;19.3;75.4;68.07;49.45;0
22/8/2022;16:40:15;19.3;75.4;67.97;49.4;0
22/8/2022;16:40:20;19.3;75.4;67.48;49.4;0
22/8/2022;16:40:25;19.3;75.4;67.38;49.41;0
22/8/2022;16:40:30;19.3;75.4;67.38;49.43;0
22/8/2022;16:40:35;19.3;75.4;67.38;49.43;0
22/8/2022;16:40:40;19.3;75.4;67.87;49.42;0
22/8/2022;16:40:45;19.3;75.4;67.38;49.38;0
22/8/2022;16:40:50;19.3;75.4;67.38;49.42;0
22/8/2022;16:40:55;19.3;75.5;68.16;49.39;0
22/8/2022;16:41:00;19.3;75.5;68.16;49.44;0
22/8/2022;16:41:05;19.3;75.4;68.07;49.42;0
22/8/2022;16:41:10;19.3;75.4;67.87;49.43;0
22/8/2022;16:41:15;19.3;75.5;68.36;49.4;0
22/8/2022;16:41:25;19.4;75.5;68.16;49.63;1
22/8/2022;16:41:30;19.3;75.5;67.77;46.74;0
22/8/2022;16:41:35;19.4;75.9;65.43;46.79;0
22/8/2022;16:41:40;19.4;76;69.43;46.82;0
